ステージ管理人,Stage Manager
チョコマカロンプリズム,Chocolate Macaron Prism
モナン＆アクモプリズム,Mindini & Malini Prism
春風応援バイザー,Spring Cheer Visor
春風応援シャツ,Spring Cheer Shirt
春風応援アーム,Spring Cheer Arms
春風応援スカート,Spring Cheer Skirt
春風応援ルーズ,Spring Cheer Shoes
春風応援パンツ,Spring Cheer Pants
春風応援ソックス,Spring Cheer Socks
レプリカード,Replica Card
レジェンドホースのツボ,Godsteed Pot
グレイトマーマンのツボ,Merderer Pot
キラーマシン２のツボ,Overkilling Machine Pot
キングリザードのツボ,Liege Lizard Pot
ブロッサムハウスタイル,Blossom House Tile
妖精の隠れ家のタイル,Fairy Lair Tile
異国のレンガ館のタイル,Exotic Brick Tile
お祭りやぐら館のタイル,Festival Tile
春風応援ポーチ,Spring Cheer Pouch
大嵐メダル,Storm Medal
しぐさ書・Ｓハート,Emote "S Heart"
しぐさ書・Ｓスター,Emote "S Star"
しぐさ書・Ｓクラウン,Emote "S Crown"
クイーン＆ナイト印章,Queen & Knight Stamp
蒼穹の守護者たち,Azure Sky Guardians
神々が住まう聖域,God's Sacred Dwelling
白ユリの守り,White Lily Defense
空賊の飛行日誌,Sky Pirate's Logbook
翼神の加護,Wing Protection
カナヘイ印章,Kanahei Stamp
むきーっ！,Argh!
どうぐ,item
まもの,monster
タマ！,!
げんま,spirit
グルヤンラシュ,Guryan Rush
手に入れた,received
めんこ,pog
戦士,warrior
僧侶,priest
魔法使い,mage
武闘家,martial artist
盗賊,thief
旅芸人,minstrel
バトルマスター,battle master
バトマス,battle master
パラディン,paladin
魔法戦士,armamentalist
レンジャー,ranger
賢者,sage
スーパースター,superstar
まもの使い,monster master
どうぐ使い,item master
踊り子,dancer
占い師,fortune teller
天地雷鳴士,druid
遊び人,gadabout
デスマスター,death master
魔剣士,demon swordsman
海賊,pirate
アストルティア防衛軍,Astoltia Defense Force
魔物,monster
つかうもの,items
錬金釜,Alchemy Pot
種族,species
とくぎ,skill
じゅもん,spell
特技,skill
呪文,spell
戦車,Tank
正義,Justice
死神,Reaper
塔,Tower
罪人,Sinner
恋人,Lover
悪魔,Demon
魔術師,Magician
節制,Temperance
隠者,Hermit
教皇,Pope
皇帝,Emperor
審判,Judgement
女教皇,Priestess
愚者,Fool
女帝,Empress
スライム系,Slime-type
獣系,Beast-type
ドラゴン系,Dragon-type
虫系,Insect-type
鳥系,Bird-type
植物系,Plant-type
物質系,Material-type
マシン系,Machine-type
ゾンビ系,Zombie-type
悪魔系,Demon-type
エレメント系,Element-type
怪人系,Humanoid-type
水系,Water-type
ぶくろ,bag
どうぐぶくろ,item bag
そうびぶくろ,equipment bag
魔族,demon
舞台に上がる,Go on Stage
台本を確認する,Check Script
説明を聞く,Explanation
にんげん,human
ニンゲン,human
盟友,ally
魔王,Demon King
大魔王,Great Demon King
転移の石碑,Stele of Transportation
ベラストル,Belastre
魔瘴の巫女,maiden of miasma
抜け道,secret passage
コリン,Colleen
ネポロ,Napolo
マイタコ,Maitako
カザキリ,Kazakiri
サザナミ,Sazanami
ボリパ,Polipa
こりん,Colleen
ねぽろ,Napolo
まいたこ,Maitako
かざきり,Kazakiri
さざなみ,Sazanami
ぼりぱ,Polipa
依頼書クエスト,Request Quest
新米アキタ,Novice Akita
新米ササニ,Novice Sasani
新米ヒトメ,Novice Hitome
ヘルップ,Heruppu
ネルガイ,Nelgai
タノンマ,Tannoma
しんまいあきた,Novice Akita
しんまいささに,Noive Sasani
しんまいひとめ,Novice Hitome
へるっぷ,Heruppu
ねるがい,Nelgai
たのんま,Tannoma
イーリス,Eris
学徒シラギ,Student Shiragi
探検家エルマン,Explorer Elman
道具屋エイナル,Item Shop Einar
道具屋マロック,Item Shop Maroc
鍛冶屋バトラ,Blacksmith Batra
鍛冶屋ブレンド,Blacksmith Brendo
武器屋フラノワ,Weapon Shop Flannoy
武器屋バートン,Weapon Shop Barton
商人マルコメス,Merchant Malcomess
商人ココッチャ,Merchant Cococha
商人ヤッチェ,Merchant Yatche
武器屋ギルバ,Weapon Shop Gilba
大富豪ブルーノ,Tycoon Bruno
農夫ボナッペ,Farmer Bonappe
農夫ゴンザ,Farmer Gonza
農夫シゴロウ,Farmer Shigoro
農夫サダキチ,Farmer Sadakichi
木こりポポンス,Woodcutter Poponce
木こりジンベ,Woodcutter Jinbei
木こりペペタ,Woodcutter Pepeta
たそがれマリク,Twilight Malik
たそがれクレド,Twilight Credo
たそがれラミー,Twilight Rami
迷えるセシリオ,Lost Cecilio
迷えるカルロス,Lost Carlos
迷えるエウリコ,Lost Eurico
なげきのパリス,Grieving Paris
なげきのロラン,Grieving Loran
なげきのモリス,Grieving Morris
悲しきイレーン,Sad Elaine
悲しきヘラルド,Sad Herald
悲しきダミアン,Sad Damien
ロンリー・デビ,Lonely Debbie
ロンリー・ホセ,Lonely Hosse
ロンリー・レオ,Lonely Leo
シェリカ,Sherika
アイリーン,Irene
イレーナ,Elaina
チャチャ,Chacha
アジサイ,Ajisai
チャクチェ,Chakche
チェチェン,Chechen
パーリー,Parley
いーりす,Eris
がくとしらぎ,Student Shiragi
たんけんかえるまん,Explorer Elman
どうぐやえいなる,Item Shop Einar
どうぐやまろっく,Item Shop Maroc
かじやばとら,Blacksmith Batra
かじやぶれんど,Blacksmith Brendo
ぶきやふらのわ,Weapon Shop Flannoy
ぶきやばーとん,Weapon Shop Barton
しょうにんまるこめす,Merchant Malcomess
しょうにんここっちゃ,Merchant Cococha
しょうにんやっちぇ,Merchant Yatche
ぶきやぎるば,Weapon Shop Gilba
だいふごうぶるーの,Tycoon Bruno
のうふぼなっぺ,Farmer Bonappe
のうふごんざ,Farmer Gonza
のうふしごろう,Farmer Shigoro
のうふさだきち,Farmer Sadakichi
きこりぽぽんす,Woodcutter Poponce
きこりじんべ,Woodcutter Jinbei
きこりぺぺた,Woodcutter Pepeta
たそがれまりく,Twilight Malik
たそがれくれど,Twilight Credo
たそがれらみー,Twilight Rami
まよえるせしりお,Lost Cecilio
まよえるかるろす,Lost Carlos
まよえるえうりこ,Lost Eurico
なげきのぱりす,Grieving Paris
なげきのろらん,Grieving Loran
なげきのもりす,Grieving Morris
かなしきいれーん,Sad Elaine
かなしきへらるど,Sad Herald
かなしきだみあん,Sad Damien
ろんりーでび,Lonely Debbie
ろんりーほせ,Lonely Hosse
ろんりーれお,Lonely Leo
しぇりか,Sherika
あいりーん,Irene
いれーな,Elaina
ちゃちゃ,Chacha
あじさい,Ajisai
ちゃくちぇ,Chakche
ちぇちぇん,Chechen
ぱーりー,Parley
ツキじい,Grandpa Suki
トネじい,Grandpa Tony
ハクじい,Grandpa Haku
エネじい,Grandpa Enei
エンじい,Grandpa Enn
カミじい,Grandpa Kami
モミじい,Grandpa Momi
ツツじい,Grandpa Tesu
オセじい,Grandpa Osei
カゲフじい,Grandpa Kagefu
旅のババリー,Traveler Bubbly
旅のポポルパ,Traveler Popolpa
武闘家バグタ,Martial Artist Baguta
盗賊ボンガス,Thief Bongas
戦士アイザック,Warrior Isaac
戦士ルーカス,Warrior Lucas
最強の男,Strong Man
占い師ハッケ,Fortune Teller Hakke
ドロだらけ,Muddy
しわくちゃ,Wrinkly
ススまみれ,Sooty
よれよれ,Shabby
虫食いだらけ,Wormy
匿名希望,Anonymous
討伐隊広報局,Subjugation Corp Bureau
討伐隊員プーレ,Strike Force Pure
討伐隊員トトン,Strike Force Toton
討伐隊員バンギ,Strike Force Bangi
討伐隊員ヤキル,Strike Force Yakiru
討伐隊員アーリ,Strike Force Arri
討伐隊員サジ,Strike Force Saji
グレン町内会,Glen Council
ガタラ町内会,Gatara Council
アズラン町内会,Azlan Council
アグラニ町内会,Agrani Council
料理人ホッコイ,Chef Hokkoi
料理人エルンゲ,Chef Elonge
料理人メルル,Chef Merle
料理人シンタマ,Chef Syntama
ハクチャ神父,Father Hakucha
オルカ神父,Father Orca
シスター・アン,Sister Ann
シスター・ヘラ,Sister Hera
怪傑ウルフ,Monster Wolf
郵便局員ハネギ,Postman Hanegi
郵便局員シーラ,Postman Shira
郵便局員ココ,Postman Koko
魔法戦士団,Armamentalist Corps
キキラ,Kikira
ハザクラ,Hazakura
ママリリ,Mamalily
宿屋マギー,Innkeep Maggie
宿屋ヒナギク,Innkeep Hinagiku
美容師パパーナ,Hairdresser Papana
道具屋シェリ,Item Shop Sheri
素材屋メドリ,Material Shop Medori
素材屋セリナ,Material Shop Serina
家具屋ポポ,Furniture Shop Popo
夢見るチョコラ,Dreaming Chokora
夢見るハノン,Dreaming Hanon
夢見るピアニー,Dreaming Peony
恋するエルノ,Erno in Love
恋するベティ,Betty in Love
恋するメリッサ,Melissa in Love
わがままプーラ,Selfish Puula
わがままノンノ,Selfish Nonno
けだるいリリー,Lazy Lily
けだるいメリー,Lazy Mary
けだるいエリー,Lazy Ellie
マダム・ベル,Madame Belle
マダム・ダニエ,Madame Dania
マダム・ベロア,Madame Velor
マダム・サリー,Madame Sally
ドロテア夫人,Mrs. Dorothea
エネット夫人,Mrs. Ennett
ザーマス夫人,Mrs. Zamas
アモンド夫人,Mrs. Ammond
エルンステ夫人,Mrs. Ernesto
ベアトリス夫人,Mrs. Beatrice
ポポナ,Popona
エイミー,Amy
ピピーナ,Pipina
ルル,Lulu
ククル,Kukulu
ネピー,Neppy
キーノ,Kino
マシマシ,Mashimashi
タック,Tack
ペルタ,Pelta
トトリ,Totori
ピスタ,Pista
ポリン,Porin
リッキ,Ricky
ハッピ,Happi
シメじい,Grandpa Shim
コメじい,Grandpa Kome
ある兵士長,Soldier To Be
ルナナ様,Miss Lunana
少女探偵,Girl Sleuth
ユナティ副団長,Sub Leader Unaty
ポイックリン,Poiclin
あるへいしちょう,Soldier To Be
ちぐりだいじん,Minister Chigri
ぱくれけいぶ,Inspector Pakul
るななさま,Miss Lunana
しょうじょたんてい,Girl Sleuth
ゆなてぃふくだんちょう,Sub Leader Unaty
ぽいっくりん,Poiclin
トトネばあさん,Grandma Totone
トミばあさん,Grandma Tomi
ウメばあさん,Grandma Ume
ヨネばあさん,Grandma Yone
ハツばあさん,Grandma Hatsu
キクばあさん,Grandma Kiku
ヤマンばあさん,Grandma Yaman
ゼンばあさん,Grandma Zen
駅員ティモ,Attendant Timo
駅員シードル,Attendant Shidoru
駅員コダマ,Attendant Kodam
駅員ハヤテ,Attendant Hayat
駅員ロニー,Attendant Ronny
車掌ヤマビコ,Conductor Yamabiko
車掌マリウス,Conductor Marius
車掌チャチャク,Conductor Chachaku
パパルタ運転士,Driver Papalta
ポポエル運転士,Driver Popoel
アドルフ運転士,Driver Adolf
匿名鉄道ファン,Anon Train Fanatic
兵士アトロ,Soldier Atro
兵士タコウチ,Soldier Takouchi
兵士チェリン,Soldier Cherin
オルフェア商会,Orphea Firm
プクレット商会,Pukulet Firm
ジュレット商会,Julet Firm
ドルワーム商会,Dolworm Firm
大工ゴッテス,Carpenter Gottess
大工ボルンガ,Carpenter Borunga
大工バッドン,Carpenter Baddon
大工ドドリス,Carpenter Dodris
研究員チャップ,Researcher Chap
研究員エンチュ,Researcher Enchu
研究員メメロ,Researcher Memero
研究員ハリリ,Researcher Hariri
パティ兄弟,Sibling Patti
職人キキナ,Crafter Kikina
マルクス,Marx
アルバン,Alban
グレゴ,Grego
ホデック,Hodek
ハルトル,Haltor
パトリック,Patrick
ルノー,Renault
ドミンゴ,Domingo
フォルタ,Forta
ハクル,Hakul
学徒ワカギ,Student Wakagi
学徒ミミズキ,Student Mimizuki
学徒ヤマザト,Student Yamazato
道具屋ハンチャ,Item Shop Hancha
道具屋ジャン,Item Shop Jean
道具屋インゴ,Item Shop Ingo
商人ボッタ,Merchant Botta
商人カリマ,Merchant Karima
武器屋イッテツ,Weapon Shop Ittetsu
武器屋ヤン,Weapon Shop Yan
武器屋ジャガイ,Weapon Shop Jagai
武器屋ガット,Weapon Shop Gatto
農夫ホルド,Farmer Holde
農夫ガンス,Farmer Gance
農夫ボボン,Farmer Bobon
農夫ダドモ,Farmer Dadom
農夫コラショ,Farmer Korasho
農夫ペペロ,Farmer Pepero
農夫コチョ,Farmer Cocho
農夫ホッカ,Farmer Hokka
農夫ヤッホホ,Farmer Yahoho
農夫ヨイサ,Farmer Yoisa
農夫ハンス,Farmer Hans
農夫カール,Farmer Carl
農夫ボボ,Farmer Bobo
農夫バング,Farmer Bang
農夫ガチャ,Farmer Gacha
木こりジンペ,Woodcutter Jinpa
木こりモスケ,Woodcutter Moske
木こりボニー,Woodcutter Bonnie
木こりギンジ,Woodcutter Kinji
木こりホイサ,Woodcutter Hoisa
木こりノッコイ,Woodcutter Nokoi
木こりギン,Woodcutter Gin
木こりプープ,Woodcutter Pupu
木こりペッチャ,Woodcutter Peccha
たそがれシモン,Twilight Simon
たそがれペニー,Twilight Penny
迷えるカミノレ,Lost Caminole
たそがれバルト,Twilight Bart
迷えるルパート,Lost Rupert
迷えるヴェルテ,Lost Verte
迷えるエルモ,Lost Elmo
迷えるマルコス,Lost Marcos
迷えるレオン,Lost Leon
なげきのギギロ,Grieving Gigiro
なげきのラモン,Grieving Ramon
なげきのトニオ,Grieving Tonio
なげきのミラン,Grieving Milan
悲しきルシオ,Sad Lucio
悲しきリカルド,Sad Ricardo
悲しきベニー,Sad Benny
悲しきロダン,Sad Rodin
ロンリー・ハセ,Lonely Hasse
ロンリー・ドニ,Lonely Donny
ロンリー・トム,Lonely Tom
ロンリー・ルイ,Lonely Louis
ノワール,Noir
キッカ,Yakka
ツルハ,Tsuruha
コルダ,Corda
マーシャ,Marsha
ソフィー,Sophie
サーリー,Sulley
カリナ,Carina
ピルノ,Pirno
チュルダ,Curda
チェチェナ,Cecina
リッピ,Lippi
美容師ヤココ,Hairdresser Yakoko
美容師イチジク,Hairdresser Ichijiku
宿屋アププ,Innkeep Apupu
宿屋ホオズキ,Innkeep Hozuki
宿屋キセラ,Innkeep Kisera
学徒サンザシ,Student Sanzashi
学徒スズリ,Student Suzuri
素材屋ギルダ,Material Shop Gilda
素材屋チペラ,Material Shop Chipera
素材屋ホワラ,Material Shop Howara
夢見るトエル,Dreaming Toel
夢見るエルー,Dreaming Eru
夢見るソフィ,Dreaming Sophie
夢見るニココ,Dreaming Nikoko
夢見るノノリ,Dreaming Nonori
恋するカレン,Karen in Love
恋するエミリ,Emily in Love
恋するキャシー,Kathy in Love
恋するチュチュ,Tutu in Love
わがままルシル,Selfish Lucille
わがままメイ,Selfish May
わがままステラ,Selfish Stella
わがままミャコ,Selfish Myako
わがままアンナ,Selfish Anna
おしゃべりピピ,Chatty Pipi
おしゃべりリサ,Chatty Lisa
おしゃべりチノ,Chatty Chino
おしゃべりメル,Chatty Mel
おしゃべりレナ,Chatty Lena
おしゃべりロデ,Chatty Rode
おしゃべりルナ,Chatty Luna
うわさのカミラ,Camila's Rumor
うわさのキャス,Cass' Rumor
うわさのリーザ,Lisa's Rumor
うわさのルチア,Lucia's Rumor
うわさのピピィ,Pippi's Rumor
けだるいベリー,Lazy Berry
けだるいコリー,Lazy Collie
レディ・ジニア,Lady Zinnia
リチュ,Rich
マリン,Marin
スージー,Susie
イーチェ,Ichee
エミュ,Emu
ニーナ,Nina
ミーチャ,Micha
ポポロナ,Popolona
マロン,Maron
エルミー,Elmy
ミーカ,Mika
マルル,Marul
ソプラ,Sopra
ミコラ,Mikora
ニッキ,Nikki
リロロ,Lilolo
ププーノ,Pupuno
ニノン,Ninon
ポポリパ,Popolipa
ヤヤチャ,Yayacha
ミロ,Miro
トミー,Tommy
テテ,Tete
ミケル,Michel
ユユ,Yuyu
アルト,Alto
ガンじい,Grandpa Gan
ミヤじい,Grandpa Miya
ワラじい,Grandpa Wara
ハマじい,Grandpa Hama
モリじい,Grandpa Mori
ヨシじい,Grandpa Yosh
ノビじい,Grandpa Nobi
コマじい,Grandpa Koma
モンじい,Grandpa Mon
フクじい,Grandpa Fuke
モクじい,Grandpa Moke
旅のヨギリ,Traveler Yogiri
旅のササダケ,Traveler Sasadake
武闘家ケチャ,Martial Artist Kecha
戦士パチェス,Warrior Paches
戦士パラート,Warrior Parat
討伐隊員マチェ,Strike Force Mache
討伐隊員ホルプ,Strike Force Holp
討伐隊員エドー,Strike Force Ed
討伐隊員ナトリ,Strike Force Natalie
討伐隊員ジーン,Strike Force Jean
討伐隊員カート,Strike Force Cart
討伐隊員ガンボ,Strike Force Gumbo
討伐隊員ロウダ,Strike Force Rouda
討伐隊員マフー,Strike Force Mafu
料理人ボーラ,Chef Bora
料理人ピーラ,Chef Peera
料理人マッシャ,Chef Massha
料理人スプル,Chef Sprue
料理人トングラ,Chef Tongla
料理人ジャーロ,Chef Jarro
料理人カップ,Chef Cupp
料理人ライパン,Chef Raipan
神父ホーリス,Father Horiss
神父ドラーク,Father Drake
神父パルカ,Father Parka
神父イーハ,Father Iha
神父ハロン,Father Haron
神父ムスチー,Father Muschi
神父レオニ,Father Leonie
神父エゴール,Father Egor
神父アレクセイ,Father Alexei
神父ダニエル,Father Daniel
神父バルトル,Father Bartle
シスター・ウル,Sister Uru
シスター・サラ,Sister Sara
シスター・リノ,Sister Reno
シスター・ドラ,Sister Dora
シスター・ナナ,Sister Nana
シスター・ルマ,Sister Luma
シスター・チモ,Sister Chimo
シスター・ラン,Sister Lan
郵便局員トボラ,Postman Tobora
郵便局員チュダ,Postman Chuda
郵便局員ハルザ,Postman Haruza
配達員マズル,Deliverer Mazur
配達員メドゥナ,Deliverer Meduna
配達員メルカ,Deliverer Merca
イトばあさん,Grandma Ito
ノキばあさん,Grandma Noki
サワばあさん,Grandma Sawa
モチばあさん,Grandma Mochi
ハトばあさん,Grandma Hato
ヤマばあさん,Grandma Yama
ハネばあさん,Grandma Hane
オネばあさん,Grandma Onei
マツばあさん,Grandma Matsu
タケばあさん,Grandma Take
フネばあさん,Grandma Fune
イネばあさん,Grandma Ine
ササばあさん,Grandma Sasa
シノばあさん,Grandma Sino
ヒサばあさん,Grandma Hisa
カキばあさん,Grandma Kaki
スミばあさん,Grandma Sumi
ハコばあさん,Grandma Hako
ヒナばあさん,Grandma Hina
フユばあさん,Grandma Fuu
ワカばあさん,Grandma Waka
サクばあさん,Grandma Saku
スズネばあさん,Grandma Suzun
駅員コウロ,Attendant Kouro
駅員アボット,Attendant Abbot
駅員ビーン,Attendant Bean
駅員ベント,Attendant Bento
駅員ピケット,Attendant Piket
駅員ポート,Attendant Boto
駅員ペインズ,Attendant Penzu
駅員バルフ,Attendant Balf
駅員ボウマン,Attendant Bowma
駅員コチョ,Attendant Kocho
車掌ポロック,Conductor Pollock
車掌パーリ,Conductor Pari
車掌フロック,Conductor Flock
車掌バギー,Conductor Bagy
車掌ププルト,Conductor Puprut
運転士チッチェ,Driver Chiche
運転士バチュ,Driver Vatu
運転士コペチャ,Driver Kopecha
運転士ダフィ,Driver Duffy
運転士デッカー,Driver Decker
兵士ヤマキ,Soldier Yamaki
兵士レナード,Soldier Leonard
兵士マーク,Soldier Mark
兵士ロイ,Soldier Roy
兵士イース,Soldier Ys
兵士ウィリアム,Soldier William
カンザ親方,Boss Kanza
若頭コグチ,Young Koguchi
若頭ヒノキ,Young Hinoki
大工カラマツ,Carpenter Larch
大工アカマツ,Carpenter Akamatsu
大工エゾマツ,Carpenter Spruce
大工ケヤキ,Carpenter Elm
研究員チョビ,Researcher Chobi
研究員アチュリ,Researcher Atulli
研究員マチュー,Researcher Mathieu
研究員トトチャ,Researcher Totocha
研究員マトゥラ,Researcher Mathura
研究員トゥシェ,Researcher Touche
研究員ペツィナ,Researcher Pezina
求めるは仙者の霊薬,Seeking a Hermit's Remedy
結成！　若葉の探検隊！,Formation! Leaf Explorers!
亡霊の声,Ghost Voice
秘められた想い,Hidden Thoughts
永遠の誓い,Eternal Vow
ニーベルの指輪を探せ！,Find Nibel's Ring!
ヴァルハラの戦士たち,Warriors of Valhalla
復活の三賢人,3 Revival Wise Men
ニブルヘイム・サガ,Nibelheim Saga
神々の黄昏,Twilight of God
魔瘴の子,Miasma Child
父との再会,Dad's Reunion
ハッパの想い,Happa's Feelings
平和のために,For Peace
暗黒大樹の守り人,Great Dark Tree Guardian
それが気がかり,That's Worrying
禁断の子守唄,Forbidden Lullaby
死を呼ぶ少女,Girl Calls Death
終わりの声,The End's Voice
ルベカとフィーヤ,Rubecca and Fiya
ネコババはダメなのニャ,No Catnip for Me
ネコにゴハンなのニャ,It's Food for Cats
ネコかぶりでＧＯなのニャ,Boss Cat Goes Meow
借りてきたネコなのニャ,The Borrowed Cat
ネコの手も借りるのニャ,Cat's Meow to Help
唄う王子,Sing Prince
王子の挑戦,Prince's Trial
第四の詩歌,The Fourth Poem
瀑布の女王,Waterfall Queen
そのために生きた,I Lived for That
審査員募集中,Judges Wanted
一心不乱！　１次予選！,Unrelenting! Round 1!
空前絶後！　２次予選！,Unprecedented! Round 2!
わくわくエキシビション♪,Exciting Exhibition ♪
炎の決勝戦！,Flaming Finals!
ダンダダ団カムバックです,Robbin' 'Ood Gang's Return
母性に目覚めました！,Awakening to Motherhood!
これって神のお告げなの？,Is This a Sign From God?
行かないで！　神父さま！,Don't Go! Father!
オルフェアの奇跡,The Miracle of Orphea
王子の見た悪夢,Prince's Nightmare
亡霊は眠らない,Ghosts Never Sleep
英雄の足跡,Hero Footprints
消えない恨み,Indelible Grudge
５００年の復讐,500 Years of Revenge
雪山の捜索,Mountain Search
村の聖地,Village Sanctum
村王の決意,King's Decision
戦いの呪縛,Battle Curse
死神の審判,Reaper Judgment
さまよえる怪物,Wandering Monster
明かされる過去,The Past Revealed
目覚める剣士,Awakened Swordsman
立ちはだかる守護者,The Standing Guardian
語り継がれる真実,The Untold Truth
王様のハンティング,King's Hunting
進め！　レスキュー隊,Move! Rescue Team
裏切り者はだれだ！？,Who's the Traitor!?
剣の継承者,Sword's Heir
王女と牙とぬいぐるみ,Princess, Fang and Plushie
しゃべる杖が見たい！,To See a Talking Staff!
アグラニに潜む影,Shadow Lurking in Agrani
英雄になるのは　あたしよ,I'm Gonna be a Hero
賢者の手を引いて,Pull the Wise Man's Arm
父と子と,Dad, Son and
いにしえの皇子,The Ancient Prince
憎しみは時を超えて,Hatred is Timeless
カルサドラの赤き計略,Calsadora's Red Scheme
終わりを告げる者,The Doomsayer
託された希望,Entrusted Hope
若き院長の悩み,Director's Troubles
伝説の聖具,The Sacred Tool
聖女の祈り,Saint's Prayer
天魔復活,Demon Revive
生きる価値,Value of Life
物語は動きだす,The Story Gets Going
魔女は高らかに笑う,The Witch Laughs Loudly
英雄はすべてを救う,A Hero Saves All
あやかしの調べ,Ghost Investigation
途切れた旋律,Broken Melody
明日へのコーダ,Coda's Tomorrow
凍える人々,Freeze People
怨霊の正体,Grudge Identity
魔物たちの挽歌,Monster's Elegy
生きていた男,Man Who Lived
希望となった男,Man Who Became Hope
真実に気づいた男,Man Who Realized Truth
ぬいぐるみを買いに,To Buy a Plushie
王家の本であります！,It's a Royal Book!
説明おじさんの生きがい,Uncle's Purpose in Life
ちっちゃな恋の物語,A Tale of Tiny Love
おばあちゃん先生の授業,Grandma's Class
ヤキトリじいさんの日常,Life of Grandpa Yakitori
世話焼きオバサンの計画,Caring Aunt's Plan
想いを花に込めて,Thoughts Into Flowers
薬草戦士と豊かな土,Herbal Warrior & Rich Soil
流れ着いた愛の詩,Drifted Away Love Poem
枯れないジジイの大仕掛け,Undying Old Man's Device
魔法のオーブン,The Magic Oven
目指せ！　ステキなオネエ,Go for It! Nice One
コックはいつも大忙し,The Cook is Always Busy
オーマイドリーム！,Oh My Dream!
憎らしいヨメ,Hateful Wife
まことの美を求めて,In Search of True Beauty
ビッグホルンの復活,The Return of the Big Horn
風車塔のほほえみ,Windmill Tower's Smile
シオンの花言葉,Shion Flower Language
お料理大好きですわ～♪,I Love to Cook ♪
大自然にあこがれて,Longing for Nature
コルット地方で新種発見？,New Species in Colt Region?
怪奇！　岸辺にひそむ亡霊,Weird! Ghosts on the Shore
ランガーオ山地の黒い影,Shadow of Langao Mountains
カメラ小僧の挑戦状！,Photographer's Challenge!
ププナ★お天気レポート,Pupuna ★ Weather Report
やさしさのクスリ,Kindness Medicine
鬼嫁への罪滅ぼし,Destroy the Devil's Wife
終を告げる姫,Princess Tells End
マイタケ　男の進路相談,Maitake: Men's Job advice
無骨な町のアクトレス,Actress in a Rugged Town
セット装備に酔いしれろ,Entranced by Set Equipment
職人さんに会いたい！,I Wanna Meet a Craftsman!
あこがれの称号さ見てえ！,I Always Wanted This Title
忘れられた誓い,A Forgotten Vow
狂える赤き月,The Mad Red Moon
揺らぎはじめる世界,World That Begins to Shake
大いなる危機の胎動,Great Crisis in Motion
魂のありか,Soul's Location
空が紅く染まるとき,When the Sky Turns Red
白き剣の下に,Below White Sword
商人トルネコの依頼,Merchant Torneko's Request
万年雪の番人,Permasnow Guard
王たる者の資質,Qualities of a King
勇士たちの祈り,Hero's Prayer
神代の春の歌,Old Spring Song
三闘士の導き,3 Fighter Guidance
王者の継承,Champ Successor
聖竜の神話,Holy Dragon Myth
闇に眠りし王,King Slept in Dark
占い師ミネアの依頼,Fortune Teller Minea's Request
偽りの星詠み,False Star Poetry
記憶のつめあと,Traces of Memory
囚われの少女,The Trapped Girl
ふたりの逃亡者,The Two Fugitives
最後の神話の戦い,The Last Mythical Battle
残された希望,Remaining Hope
テティのアドベンチャー！,Tetti's Adventure!
果たせなかった契り,Unfulfilled Promise
交差する想い,Crossing Thoughts
タイタス号の羅針盤,Titus' Compass
デニーの帽子,Denny's Hat
お花畑に行きたい！,Go to the Flower Garden!
砂漠の民は肉がお好き？,Desert People Like Meat?
オレの料理を食えばいい,You Can Have My Food
弟への贈り物,Gift For Brother
トモガラのお願い,Tomogara's Request
娯楽に飢える砂漠の民,Desert People's Recreation
ぬい合わせた願い,Stitched Together Wishes
武器鍛冶職人の道,The Weaponsmith's Way
一人前の武器鍛冶職人,Full-Fledged Weaponsmith
武器鍛冶職人の挑戦,Weaponsmith's Challenge
マスター・ラセドの依頼,Master Rasedo's Request
武器鍛冶職人の必殺技,Weaponsmith's Special Move
マスター・ラセドの決意,Master Rasedo's Decision
防具鍛冶職人にならない？,Why Not be an Armorsmith?
家族への贈り物,Gifts for Family
さらなる高みへ,To a Higher Level
ウデきき職人への依頼,Request an Abled Craftsman
二度目の輝き,2nd Time to Shine
命の炎,Life Fire
謎めいた微笑,Enigmatic Smile
禁じられた秘術,Forbidden Mysteries
鍛冶ハンマーを振るえ！,Blacksmith Hammer Swing!
さいほう針をかかげて,Holding Up a Sewing Needle
錬金ツボは輝く,An Alchemy Pot Shines
木工刀よりも鋭く,Sharp Woodworking Knife
振るえ必殺のフライパン,Shake and Kill Frying Pan
錬金ランプをみがけ！,Look to the Alchemy Lamp!
マスター・ユービアの誘い,Master Yubia's Invite
さいほうと共に生きる道,Sewer's Way of Life
マスター・ユービアの試練,Master Yubia's Trials
亡き父に贈る服,Clothes for Late Dad
さいほう職人の切り札,Sewer's Secret Weapon
過去からの訪問者,Visitors From the Past
揺れる心,Shaken Heart
魂の父,Dad Soul
木工のイロハ,Woodworking Intro
へこむカンナさん,Dismal Master Kanna
木目は語る,Wood Grain Talk
祖父から受け継いだ宝,Treasure Given by Grandpa
刻まれた年輪,Engraved Tree Ring
立ちこめる暗雲,Gathering Dark Clouds
なげくカンナさん,Grieving Master Kanna
カンナの花道,Kanna's Flowers
ランプ錬金やるっしょ？,You'll Do Lamp Alchemy?
一人前になるっしょ？,You'll Become Qualified?
さらに上を目指すっしょ？,You'll Aim Higher?
デカイ仕事受けるっしょ？,You'll Get a Big Job?
必殺技ゲッチュっしょ？,You'll Get a Special Move?
ヤバい世界みるっしょ？,You'll See an Awful World?
ポーリアにおまかせ,Leave it to Paulia
ポーリアが望むモノ,What Paulia Wants
